,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
122,270130,Cajueiro,AL,1998,Serviço Autônomo de Água e Esgoto,10537.0,2337.0,2337.0,23.0,393.78,381.8,338.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214627.82,126869.43,5502.2,8067.17,51790.2,214870.81,214870.81,0.0,0.0,0.0
124,270135,Campestre,AL,2018,Prefeitura Municipal de Campestre,5900.0,2264.0,2264.0,35.0,450.0,210.0,0.0,1459.0,1460.0,35.0,350.0,0.0,0.0,1500.0,5300.0,0.0,42000.0,2000.0,5000.0,8000.0,59500.0,62000.0,500.0,1000.0,1000.0
125,270135,Campestre,AL,2017,Prefeitura Municipal de Campestre,5900.0,2264.0,2264.0,35.0,396.0,200.0,0.0,1459.0,1460.0,35.0,350.0,0.0,0.0,1500.0,5300.0,0.0,42000.0,2000.0,5000.0,8000.0,59500.0,62000.0,500.0,1000.0,1000.0
126,270135,Campestre,AL,2016,Prefeitura Municipal de Campestre,5879.0,1500.0,1500.0,35.0,396.0,200.0,0.0,1459.0,1460.0,35.0,350.0,0.0,0.0,1500.0,5000.0,0.0,42000.0,2000.0,5000.0,8000.0,59500.0,62000.0,500.0,1000.0,1000.0
127,270140,Campo Alegre,AL,2019,Prefeitura Municipal de Campo Alegre,45700.0,7206.0,8194.0,64.43,2878.5,205.73,1100.0,6100.0,6110.0,55.0,325.0,25.0,0.0,7252.0,13850.0,1853694.15,615621.5,65600.0,1021625.66,35000.0,1932784.4,1982784.4,0.0,0.0,0.0
128,270140,Campo Alegre,AL,2018,Prefeitura Municipal de Campo Alegre,52087.0,8100.0,15950.0,63.55,2878.5,205.73,1100.0,6100.0,6100.0,52.0,325.0,25.0,0.0,7252.0,13850.0,1640015.49,569735.93,40000.0,790463.65,48530.0,1498729.58,1590729.58,0.0,0.0,0.0
129,270140,Campo Alegre,AL,2017,Prefeitura Municipal de Campo Alegre,51248.0,7252.0,15900.0,60.5,2878.5,205.73,1100.0,5900.0,7252.0,52.0,325.0,55.0,0.0,7252.0,13850.0,1200785.81,617638.24,22850.0,610000.0,44676.0,1400000.0,1585164.24,0.0,0.0,0.0
130,270140,Campo Alegre,AL,2016,Prefeitura Municipal de Campo Alegre,45530.0,6044.0,15800.0,58.0,2850.0,203.7,600.0,5805.0,6044.0,43.0,320.0,50.0,0.0,6044.0,13820.0,1095227.19,585000.0,21600.0,840000.0,25152.0,1471752.0,1471752.0,0.0,0.0,0.0
131,270140,Campo Alegre,AL,2014,Prefeitura Municipal de Campo Alegre,44514.0,6426.0,13120.0,59.0,2967.0,1483.0,0.0,4600.0,4600.0,21.0,557.0,0.0,0.0,4850.0,11576.0,343044.02,229300.0,62300.0,385800.0,36300.0,794956.0,824956.0,20000.0,41256.0,20000.0
132,270140,Campo Alegre,AL,2013,Prefeitura Municipal de Campo Alegre,42395.0,6362.0,12780.0,39.0,2826.0,1413.0,0.0,4200.0,4200.0,14.0,551.25,0.0,0.0,4410.0,11025.0,0.0,218400.0,55650.0,359901.0,31500.0,702201.0,719802.0,0.0,36750.0,0.0
133,270140,Campo Alegre,AL,2012,Prefeitura Municipal de Campo Alegre,40376.0,12000.0,12000.0,35.0,2692.0,1346.0,0.0,4200.0,4200.0,9.0,551.25,0.0,0.0,4410.0,10500.0,0.0,208000.0,53000.0,342763.0,30000.0,668763.0,685526.0,0.0,35000.0,0.0
134,270140,Campo Alegre,AL,2011,Prefeitura Municipal de Campo Alegre,39200.0,12000.0,12000.0,35.0,2692.8,1346.0,0.0,4200.0,4200.0,9.0,551.25,0.0,0.0,4410.0,10500.0,0.0,189000.0,42000.0,406350.0,20601.0,919800.0,919800.0,0.0,31500.0,0.0
