,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
14892,420240,Blumenau,SC,2019,BRK Ambiental   Blumenau S.A.,,,,,,,,26.788,58.138,364,"6.976,00","6.624,00","9.140,00",26.904,149.926,"45.457.031,81","7.070.957,03","673.072,65","2.138.217,46","4.189.998,69","21.918.211,49","49.880.005,12",,"3.251.441,05",0
14894,420240,Blumenau,SC,2018,BRK Ambiental   Blumenau S.A.,,,,,,,,26.184,56.889,364,"6.655,00","6.312,00","8.846,00",26.3,144.575,"42.284.338,95","6.794.835,07","868.415,85","1.859.056,85","3.301.506,04","15.176.047,66","42.714.165,99",,"212.179,90",0
14896,420240,Blumenau,SC,2017,BRK Ambiental   Blumenau S.A.,,,,,,,,25.61,55.487,386,"6.101,00","5.755,00","8.448,00",25.769,139.631,"38.675.794,68","6.530.656,98","667.042,38","1.482.391,03","3.140.036,19","14.588.825,00","39.899.706,17",,"200.913,24",0
14899,420240,Blumenau,SC,2016,BRK Ambiental   Blumenau S.A.,,,,,,,,23.81,50.666,367,"5.403,00","5.073,00","7.034,00",24.001,131.151,"31.421.428,98","5.674.534,87","521.773,16","1.303.656,09","2.612.672,25","14.393.671,84","35.008.329,35",,"234.406,04",0
14976,420300,Caçador,SC,2019,BRK Ambiental Caçador S.A,63.151,18.840,23.808,257,"3.984,33","3.748,22","2.609,57",,,,,,,,,"9.735,71","4.484.585,00","684.504,00","1.747.216,00","4.925.073,00","14.353.377,00","15.035.224,00",0,"156.576,00",
17878,352690,Limeira,SP,2019,BRK Ambiental - Limeira S.A.,296.979,101.730,123.571,"1.198,66","24.324,63","24.291,89","21.421,00",100.962,122.644,"1.048,88","16.932,00","16.932,00","22.026,00",104.275,296.979,"169.001.832,00","25.842.639,00","3.182.376,00","17.879.854,00","16.847.462,00","114.628.901,00","143.969.746,00",0,"27.698.918,00",0
17879,352690,Limeira,SP,2018,BRK Ambiental - Limeira S.A.,294.620,100.852,122.477,"1.183,13","24.253,83","24.216,64","20.604,50",100.088,121.576,"1.036,62","19.088,89","19.088,89","20.763,77",103.378,294.620,"160.949.964,98","24.072.535,23","2.636.975,94","15.875.937,99","7.155.147,62","89.723.624,32","154.065.271,08",0,"16.689.776,47",0
17880,352690,Limeira,SP,2017,BRK Ambiental - Limeira S.A.,291.931,100.055,118.893,"1.175,75","23.511,40","23.474,51","20.474,69",99.270,117.975,"1.035,00","18.788,36","18.788,36","20.090,00",102.504,291.931,"149.418.977,43","22.741.300,00","2.520.997,00","12.257.215,00","8.854.331,04","74.844.211,60","124.718.861,00",0,"28.470.368,56",0
17881,352690,Limeira,SP,2016,BRK Ambiental - Limeira S.A.,289.787,99.381,117.694,"1.170,00","22.746,00","22.707,00","20.269,00",98.553,116.732,"1.029,00","19.089,00","19.089,00","19.901,00",101.732,289.787,"122.674.684,50","20.290.182,75","2.419.401,91","12.877.299,21","7.533.143,09","67.241.288,50","102.142.235,80",0,"24.121.261,54",0
18041,352940,Mauá,SP,2019,BRK Ambiental - Mauá S.A.,,,,,,,,114.651,140.566,613,"16.686,00","13.157,28","19.766,44",117.949,439.076,"78.855.314,50","13.434.511,69","1.658,90","3.392.450,80","4.106.351,85","34.137.490,00","69.668.917,00",,"5.844.100,81",0
18043,352940,Mauá,SP,2018,BRK Ambiental - Mauá S.A.,,,,,,,,111.985,128.461,611,"15.627,06","13.740,96","19.256,16",114.214,433.926,"68.892.661,22","12.233.702,96","5.362,00","3.122.274,06","8.489.682,97","33.627.269,33","62.040.874,25",,"5.780.934,21",0
18046,352940,Mauá,SP,2017,BRK Ambiental - Mauá S.A.,,,,,,,,109.033,127.234,611,"15.594,78","12.018,00","19.159,87",111.970,442.554,"70.226.393,10","12.755.458,05","3.148,44","2.847.441,58","7.658.759,21","42.759.374,31","50.508.004,57",,"5.955.423,92",0
